signal shape:torch.Size([256, 2048, 1])
label shape:torch.Size([256, 512])
training: epoch 0, step 200, loss 478.974486, time: 3.358
training: epoch 0, step 400, loss 377.965655, time: 3.397
training: epoch 0, step 600, loss 339.654813, time: 3.404
training: epoch 0, step 800, loss 317.654072, time: 3.408
training: epoch 0, step 1000, loss 302.406590, time: 3.403
training: epoch 0, step 1200, loss 289.140060, time: 3.400
training: epoch 0, step 1400, loss 277.810948, time: 3.408
training: epoch 0, step 1600, loss 268.324706, time: 3.411
training: epoch 0, step 1800, loss 260.471617, time: 3.413
training: epoch 0, step 2000, loss 253.350648, time: 3.413
training: epoch 0, step 2200, loss 246.645512, time: 3.405
training: epoch 0, step 2400, loss 240.334375, time: 3.403
training: epoch 0, step 2600, loss 234.450737, time: 3.401
training: epoch 0, step 2800, loss 229.251148, time: 3.403
training: epoch 0, step 3000, loss 224.165813, time: 3.404
training: epoch 0, step 3200, loss 219.674924, time: 3.405
training: epoch 0, step 3400, loss 215.115221, time: 3.405
training: epoch 0, step 3600, loss 210.876912, time: 3.397
training: epoch 0, step 3800, loss 206.952603, time: 3.410
training: epoch 0, step 4000, loss 203.165532, time: 3.408
training: epoch 0, step 4200, loss 199.626858, time: 3.413
training: epoch 0, step 4400, loss 196.022268, time: 3.412
training: epoch 0, step 4600, loss 192.568528, time: 3.411
training: epoch 0, step 4800, loss 189.269337, time: 3.405
training: epoch 0, step 5000, loss 186.167629, time: 3.409
training: epoch 0, step 5200, loss 183.139897, time: 3.401
training: epoch 0, step 5400, loss 180.311734, time: 3.407
training: epoch 0, step 5600, loss 177.498054, time: 3.398
training: epoch 0, step 5800, loss 174.861992, time: 3.401
training: epoch 0, step 6000, loss 172.384195, time: 3.412
training: epoch 0, step 6200, loss 169.970818, time: 3.406
training: epoch 0, step 6400, loss 167.555644, time: 3.402
training: epoch 0, step 6600, loss 165.278018, time: 3.409
training: epoch 0, step 6800, loss 163.053416, time: 3.400
training: epoch 0, step 7000, loss 160.946177, time: 3.403
training: epoch 0, step 7200, loss 158.896604, time: 3.402
training: epoch 0, step 7400, loss 156.903199, time: 3.403
training: epoch 0, step 7600, loss 154.947962, time: 3.400
training: epoch 0, step 7800, loss 153.044913, time: 3.403
training: epoch 0, step 7849, loss 152.626535, time: 0.833
validate: epoch 0, loss 85.402299, charcter error 15.888 time: 3.964
    - [Info] The checkpoint file has been updated.
training: epoch 1, step 200, loss 79.353275, time: 3.357
training: epoch 1, step 400, loss 80.722344, time: 3.391
training: epoch 1, step 600, loss 79.193548, time: 3.407
training: epoch 1, step 800, loss 78.767138, time: 3.399
training: epoch 1, step 1000, loss 78.244173, time: 3.395
training: epoch 1, step 1200, loss 77.721184, time: 3.400
training: epoch 1, step 1400, loss 77.637869, time: 3.403
training: epoch 1, step 1600, loss 77.106681, time: 3.394
training: epoch 1, step 1800, loss 76.512002, time: 3.402
training: epoch 1, step 2000, loss 76.160104, time: 3.403
training: epoch 1, step 2200, loss 75.789368, time: 3.400
training: epoch 1, step 2400, loss 75.438516, time: 3.404
training: epoch 1, step 2600, loss 74.905542, time: 3.394
training: epoch 1, step 2800, loss 74.448238, time: 3.393
training: epoch 1, step 3000, loss 74.103430, time: 3.399
training: epoch 1, step 3200, loss 73.664094, time: 3.403
training: epoch 1, step 3400, loss 73.288960, time: 3.410
training: epoch 1, step 3600, loss 72.900581, time: 3.402
training: epoch 1, step 3800, loss 72.527090, time: 3.402
training: epoch 1, step 4000, loss 72.164148, time: 3.396
training: epoch 1, step 4200, loss 71.795945, time: 3.398
training: epoch 1, step 4400, loss 71.437164, time: 3.390
training: epoch 1, step 4600, loss 71.130225, time: 3.397
training: epoch 1, step 4800, loss 70.829535, time: 3.395
training: epoch 1, step 5000, loss 70.563102, time: 3.396
training: epoch 1, step 5200, loss 70.262534, time: 3.393
training: epoch 1, step 5400, loss 70.022272, time: 3.400
training: epoch 1, step 5600, loss 69.682559, time: 3.401
training: epoch 1, step 5800, loss 69.414016, time: 3.394
training: epoch 1, step 6000, loss 69.126187, time: 3.407
training: epoch 1, step 6200, loss 68.841549, time: 3.403
training: epoch 1, step 6400, loss 68.516008, time: 3.399
training: epoch 1, step 6600, loss 68.294687, time: 3.405
training: epoch 1, step 6800, loss 67.988416, time: 3.402
training: epoch 1, step 7000, loss 67.767734, time: 3.409
training: epoch 1, step 7200, loss 67.534377, time: 3.404
training: epoch 1, step 7400, loss 67.328367, time: 3.403
training: epoch 1, step 7600, loss 67.079116, time: 3.406
training: epoch 1, step 7800, loss 66.835161, time: 3.414
training: epoch 1, step 7849, loss 66.772231, time: 0.836
validate: epoch 1, loss 61.313086, charcter error 11.121 time: 4.015
    - [Info] The checkpoint file has been updated.
training: epoch 2, step 200, loss 58.111263, time: 3.364
training: epoch 2, step 400, loss 57.969536, time: 3.408
training: epoch 2, step 600, loss 57.781026, time: 3.401
training: epoch 2, step 800, loss 57.273396, time: 3.411
training: epoch 2, step 1000, loss 57.125629, time: 3.404
training: epoch 2, step 1200, loss 57.067984, time: 3.407
training: epoch 2, step 1400, loss 56.746937, time: 3.410
